Accredited,TitleI,Region,AgeGroup,Time,Rate,RegionId,AgeGroupID,TimeID
0,1,SouthWest,Preschool,PT,44.2,4,1,1
0,1,SouthWest,School-age,FT,118.13,4,2,0
0,1,SouthWest,School-age,PT,57.23,4,2,1
1,0,East,Infant/Toddler,FT,169.95,0,0,0
1,0,East,Infant/Toddler,PT,59.5,0,0,1
1,0,East,Preschool,FT,165.32,0,1,0
1,0,East,Preschool,PT,57.85,0,1,1
1,0,East,School-age,FT,113.2,0,2,0
1,0,East,School-age,PT,54.8,0,2,1
1,0,NorthCentral,Infant/Toddler,FT,169.95,1,0,0
1,0,NorthCentral,Infant/Toddler,PT,59.5,1,0,1
1,0,NorthCentral,Preschool,FT,165.32,1,1,0
1,0,NorthCentral,Preschool,PT,57.85,1,1,1
1,0,NorthCentral,School-age,FT,114,1,2,0
1,0,NorthCentral,School-age,PT,55.4,1,2,1
1,0,NorthWest,Infant/Toddler,FT,169.95,2,0,0
1,0,NorthWest,Infant/Toddler,PT,59.5,2,0,1
1,0,NorthWest,Preschool,FT,165.32,2,1,0
1,0,NorthWest,Preschool,PT,57.85,2,1,1
1,0,NorthWest,School-age,FT,116.6,2,2,0
1,0,NorthWest,School-age,PT,56.5,2,2,1
1,0,SouthCentral,Infant/Toddler,FT,175,3,0,0
1,0,SouthCentral,Infant/Toddler,PT,61.1,3,0,1
1,0,SouthCentral,Preschool,FT,165.32,3,1,0
1,0,SouthCentral,Preschool,PT,57.85,3,1,1
1,0,SouthCentral,School-age,FT,113.2,3,2,0
1,0,SouthCentral,School-age,PT,54.8,3,2,1
1,0,SouthWest,Infant/Toddler,FT,205.07,4,0,0
1,0,SouthWest,Infant/Toddler,PT,71.8,4,0,1
1,0,SouthWest,Preschool,FT,165.32,4,1,0
1,0,SouthWest,Preschool,PT,57.85,4,1,1
1,0,SouthWest,School-age,FT,120.8,4,2,0
1,0,SouthWest,School-age,PT,58.6,4,2,1
1,1,East,Infant/Toddler,FT,191.27,0,0,0
1,1,East,Infant/Toddler,PT,66.8,0,0,1
1,1,East,Preschool,FT,165.32,0,1,0
1,1,East,Preschool,PT,57.85,0,1,1
1,1,East,School-age,FT,126.1,0,2,0
1,1,East,School-age,PT,61.1,0,2,1
1,1,NorthCentral,Infant/Toddler,FT,191.27,1,0,0
1,1,NorthCentral,Infant/Toddler,PT,66.8,1,0,1
1,1,NorthCentral,Preschool,FT,165.32,1,1,0
1,1,NorthCentral,Preschool,PT,57.85,1,1,1
1,1,NorthCentral,School-age,FT,127.2,1,2,0
1,1,NorthCentral,School-age,PT,61.7,1,2,1
1,1,NorthWest,Infant/Toddler,FT,191.27,2,0,0
1,1,NorthWest,Infant/Toddler,PT,66.8,2,0,1
1,1,NorthWest,Preschool,FT,165.32,2,1,0
1,1,NorthWest,Preschool,PT,57.85,2,1,1
1,1,NorthWest,School-age,FT,130,2,2,0
1,1,NorthWest,School-age,PT,63,2,2,1
1,1,SouthCentral,Infant/Toddler,FT,196.94,3,0,0
1,1,SouthCentral,Infant/Toddler,PT,68.9,3,0,1
1,1,SouthCentral,Preschool,FT,165.32,3,1,0
1,1,SouthCentral,Preschool,PT,57.85,3,1,1
1,1,SouthCentral,School-age,FT,126.1,3,2,0
1,1,SouthCentral,School-age,PT,61.1,3,2,1
1,1,SouthWest,Infant/Toddler,FT,230.51,4,0,0
1,1,SouthWest,Infant/Toddler,PT,80.5,4,0,1
1,1,SouthWest,Preschool,FT,165.32,4,1,0
1,1,SouthWest,Preschool,PT,57.85,4,1,1
1,1,SouthWest,School-age,FT,135,4,2,0
1,1,SouthWest,School-age,PT,65.4,4,2,1
